arm,scope,stage,kernel,calls,milliseconds_per_round
fixed,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_preshuffle_gemm_squeeze_view_3.kd,6,0.002145666666666667
old,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_preshuffle_gemm_squeeze_view_5.kd,54,0.016370999999999997
fixed,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_preshuffle_gemm_squeeze_view_5.kd,54,0.01621133333333333
old,drafter,Drafter,triton_poi_fused_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_3.kd,54,0.019357833333333335
fixed,drafter,Drafter,triton_poi_fused_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_3.kd,54,0.031304500000000006
old,drafter,Drafter,triton_poi_fused_add_arange_bitwise_and_constant_pad_nd_ge_mul_rms_norm_select_slice_unsqueeze_view_1.kd,6,0.002305666666666667
fixed,drafter,Drafter,triton_poi_fused_add_arange_bitwise_and_constant_pad_nd_ge_mul_rms_norm_select_slice_unsqueeze_view_1.kd,6,0.023692666666666667
old,drafter,Drafter,triton_poi_fused_add_permute_unsqueeze_view_2.kd,6,0.0018456666666666667
fixed,drafter,Drafter,triton_poi_fused_add_permute_unsqueeze_view_2.kd,6,0.0018456666666666665
old,drafter,Drafter,triton_poi_fused_cat_expand_index_mul_slice_unsqueeze_view_1.kd,6,0.0025456666666666666
fixed,drafter,Drafter,triton_poi_fused_cat_expand_index_mul_slice_unsqueeze_view_1.kd,6,0.002539
old,drafter,Drafter,triton_red_fused__to_copy_abs_clamp_div_max_mul_preshuffle_gemm_silu_slice_squeeze_view_6.kd,30,0.013421666666666669
fixed,drafter,Drafter,triton_red_fused__to_copy_abs_clamp_div_max_mul_preshuffle_gemm_silu_slice_squeeze_view_6.kd,30,0.018855166666666666
old,drafter,Drafter,triton_red_fused__to_copy_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_w4_gemm_2.kd,30,0.03087566666666667
fixed,drafter,Drafter,triton_red_fused__to_copy_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_w4_gemm_2.kd,30,0.03254866666666667
fixed,drafter,Drafter,triton_red_fused__to_copy_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_w4_gemm_7.kd,24,0.027043000000000005
old,drafter,Drafter,triton_red_fused__to_copy_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_w4_gemm_8.kd,24,0.025756000000000008
old,drafter,Drafter,triton_red_fused__to_copy_embedding_mul_rms_norm_w4_gemm_0.kd,6,0.0038456666666666665
fixed,drafter,Drafter,triton_red_fused__to_copy_embedding_mul_rms_norm_w4_gemm_0.kd,6,0.0045190000000000004
fixed,drafter,Drafter,triton_red_fused_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_7.kd,6,0.006599
old,drafter,Drafter,triton_red_fused_add_arange_bitwise_and_constant_pad_nd_fused_add_rms_norm_ge_mul_select_slice_unsqueeze_view_8.kd,6,0.006719000000000001
old,drafter,Drafter,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int) [clone .kd]",12,0.009284666666666667
fixed,drafter,Drafter,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int) [clone .kd]",12,0.009498000000000001
